episode_id,underlying,denomination,sizing,exit_mode,entry_ts,exit_ts,long_symbol,short_symbol,T1,T2,qty_long,qty_short,entry_long_price,entry_short_price,exit_long_price,exit_short_price,entry_cash,exit_cash,violation_size,gross_pnl,costs,net_pnl,holding_seconds,settled_at_expiry,resolved,note
72796bad4442ada2,SPX,T1,capped,reversion,2026-08-31T14:05:00,,SPX261120C07490000,SPX261120C07520000,2026-11-20,2026-12-18,1.000000,1.000000,359.8400,345.9500,0.0000,0.0000,-13.890000,0.000000,3009.685000,-1389.00,0.00,-1389.00,0,0,0,no exit observation available; episode still open
72796bad4442ada2,SPX,K2,capped,reversion,2026-08-31T14:05:00,,SPX261218C07535000,SPX261120C07520000,2026-11-20,2026-12-18,1.000000,1.000000,374.1000,345.9500,0.0000,0.0000,-28.150000,0.000000,3009.685000,-2815.00,0.00,-2815.00,0,0,0,no exit observation available; episode still open
b309f4230683cc1e,SPX,T1,capped,reversion,2026-08-31T14:10:05,,SPX261120C07520000,SPX261120C07565000,2026-11-20,2026-12-18,1.000000,1.000000,337.3800,311.0100,0.0000,0.0000,-26.370000,0.000000,2848.794900,-2637.00,0.00,-2637.00,0,0,0,no exit observation available; episode still open
b309f4230683cc1e,SPX,K2,capped,reversion,2026-08-31T14:10:05,,SPX261218C07580000,SPX261120C07565000,2026-11-20,2026-12-18,1.000000,1.000000,343.2100,311.0100,0.0000,0.0000,-32.200000,0.000000,2848.794900,-3220.00,0.00,-3220.00,0,0,0,no exit observation available; episode still open
921bd02b8bfc40e1,SPX,T1,capped,reversion,2026-08-31T14:10:05,,SPX261120C07445000,SPX261120C07490000,2026-11-20,2026-12-18,1.000000,1.000000,395.5800,369.6700,0.0000,0.0000,-25.910000,0.000000,3632.935500,-2591.00,0.00,-2591.00,0,0,0,no exit observation available; episode still open
921bd02b8bfc40e1,SPX,K2,capped,reversion,2026-08-31T14:10:05,,SPX261218C07505000,SPX261120C07490000,2026-11-20,2026-12-18,1.000000,1.000000,401.9500,369.6700,0.0000,0.0000,-32.280000,0.000000,3632.935500,-3228.00,0.00,-3228.00,0,0,0,no exit observation available; episode still open
0a4fa92f5d08656c,SPX,T1,capped,reversion,2026-08-31T14:10:05,,SPX261016C06500000,SPX261016C06640000,2026-10-16,2026-11-20,1.000000,1.000000,1210.4700,1102.7300,0.0000,0.0000,-107.740000,0.000000,28896.007200,-10774.00,0.00,-10774.00,0,0,0,no exit observation available; episode still open
0a4fa92f5d08656c,SPX,K2,capped,reversion,2026-08-31T14:10:05,,SPX261120C06660000,SPX261016C06640000,2026-10-16,2026-11-20,1.000000,1.000000,1111.9000,1102.7300,0.0000,0.0000,-9.170000,0.000000,28896.007200,-917.00,0.00,-917.00,0,0,0,no exit observation available; episode still open
84704b735f3b6119,SPX,T1,capped,reversion,2026-08-31T14:15:11,,SPX261120C07290000,SPX261120C07325000,2026-11-20,2026-12-18,1.000000,1.000000,520.0900,504.1700,0.0000,0.0000,-15.920000,0.000000,6322.107400,-1592.00,0.00,-1592.00,0,0,0,no exit observation available; episode still open
84704b735f3b6119,SPX,K2,capped,reversion,2026-08-31T14:15:11,,SPX261218C07340000,SPX261120C07325000,2026-11-20,2026-12-18,1.000000,1.000000,528.2500,504.1700,0.0000,0.0000,-24.080000,0.000000,6322.107400,-2408.00,0.00,-2408.00,0,0,0,no exit observation available; episode still open
ad82969567f40f40,SPX,T1,capped,reversion,2026-08-31T14:15:11,,SPX261016C04900000,SPX261016C05225000,2026-10-16,2026-12-18,1.000000,1.000000,2760.0600,2513.2600,0.0000,0.0000,-246.800000,0.000000,139813.340600,-24680.00,0.00,-24680.00,0,0,0,no exit observation available; episode still open
ad82969567f40f40,SPX,K2,capped,reversion,2026-08-31T14:15:11,,SPX261218C05250000,SPX261016C05225000,2026-10-16,2026-12-18,1.000000,1.000000,2472.3200,2513.2600,0.0000,0.0000,40.940000,0.000000,139813.340600,4094.00,0.00,4094.00,0,0,0,no exit observation available; episode still open
d0b66e4efb3e95ed,SPX,T1,capped,reversion,2026-08-31T14:20:17,,SPX261120C07505000,SPX261120C07525000,2026-11-20,2026-12-18,1.000000,1.000000,348.1800,344.0100,0.0000,0.0000,-4.170000,0.000000,3509.501700,-417.00,0.00,-417.00,0,0,0,no exit observation available; episode still open
d0b66e4efb3e95ed,SPX,K2,capped,reversion,2026-08-31T14:20:17,,SPX261218C07540000,SPX261120C07525000,2026-11-20,2026-12-18,1.000000,1.000000,371.0900,344.0100,0.0000,0.0000,-27.080000,0.000000,3509.501700,-2708.00,0.00,-2708.00,0,0,0,no exit observation available; episode still open
92b0cde93bbbbc49,SPX,T1,capped,reversion,2026-08-31T14:20:17,,SPX261016C06310000,SPX261016C06590000,2026-10-16,2026-12-18,1.000000,1.000000,1382.7600,1147.2900,0.0000,0.0000,-235.470000,0.000000,35077.114200,-23547.00,0.00,-23547.00,0,0,0,no exit observation available; episode still open
92b0cde93bbbbc49,SPX,K2,capped,reversion,2026-08-31T14:20:17,,SPX261218C06625000,SPX261016C06590000,2026-10-16,2026-12-18,1.000000,1.000000,1176.7000,1147.2900,0.0000,0.0000,-29.410000,0.000000,35077.114200,-2941.00,0.00,-2941.00,0,0,0,no exit observation available; episode still open
049edbdc4e822a9c,SPX,T1,capped,reversion,2026-08-31T14:20:17,,SPX261120C06690000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1055.3300,1026.8800,0.0000,0.0000,-28.450000,0.000000,22337.831130,-2845.00,0.00,-2845.00,0,0,0,no exit observation available; episode still open
049edbdc4e822a9c,SPX,K2,capped,reversion,2026-08-31T14:20:17,,SPX261218C06775000,SPX261120C06760000,2026-11-20,2026-12-18,1.000000,1.000000,1032.5790,1026.8800,0.0000,0.0000,-5.699000,0.000000,22337.831130,-569.90,0.00,-569.90,0,0,0,no exit observation available; episode still open
8cfb3732871b797a,SPX,T1,capped,reversion,2026-08-31T14:25:22,,SPX261120C06400000,SPX261120C06625000,2026-11-20,2026-12-18,1.000000,1.000000,1329.9500,1149.9000,0.0000,0.0000,-180.050000,0.000000,35744.249000,-18005.00,0.00,-18005.00,0,0,0,no exit observation available; episode still open
